"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"5731",1,28,"continuation","fp",70,"continuation fp",8,0,265,265,-0.5,0.5,265
"5733",1,46,"continuation","fp",70,"continuation fp",6,0,185,185,-0.5,-0.5,185
"5735",1,40,"continuation","fp",70,"continuation fp",8,0,260,260,-0.5,0.5,260
"5737",1,25,"continuation","fp",70,"continuation fp",5,0,199,199,0.5,-0.5,199
"5739",1,42,"continuation","fp",70,"continuation fp",6,0,184,184,-0.5,-0.5,184
"5741",1,37,"continuation","fp",70,"continuation fp",5,0,224,224,0.5,-0.5,224
"5743",1,26,"continuation","fp",70,"continuation fp",6,0,249,249,-0.5,-0.5,249
"5745",1,30,"continuation","fp",70,"continuation fp",6,1,0,NA,-0.5,-0.5,NA
"5747",1,32,"continuation","fp",70,"continuation fp",8,0,336,336,-0.5,0.5,336
"5749",1,31,"continuation","fp",70,"continuation fp",7,0,186,186,0.5,0.5,186
"5751",1,47,"continuation","fp",70,"continuation fp",7,0,356,356,0.5,0.5,356
"5753",1,44,"continuation","fp",70,"continuation fp",8,0,192,192,-0.5,0.5,192
"5755",1,27,"continuation","fp",70,"continuation fp",7,0,205,205,0.5,0.5,205
"5757",1,33,"continuation","fp",70,"continuation fp",5,0,316,316,0.5,-0.5,316
"5759",1,45,"continuation","fp",70,"continuation fp",5,0,267,267,0.5,-0.5,267
"5761",1,34,"continuation","fp",70,"continuation fp",6,0,212,212,-0.5,-0.5,212
"5763",1,35,"continuation","fp",70,"continuation fp",7,1,0,NA,0.5,0.5,NA
"5765",1,29,"continuation","fp",70,"continuation fp",5,0,260,260,0.5,-0.5,260
"5767",1,41,"continuation","fp",70,"continuation fp",5,0,256,256,0.5,-0.5,256
"5769",1,38,"continuation","fp",70,"continuation fp",6,0,211,211,-0.5,-0.5,211
"5771",1,43,"continuation","fp",70,"continuation fp",7,0,194,194,0.5,0.5,194
"5773",1,39,"continuation","fp",70,"continuation fp",7,1,0,NA,0.5,0.5,NA
"5775",1,48,"continuation","fp",70,"continuation fp",8,0,225,225,-0.5,0.5,225
"5777",1,36,"continuation","fp",70,"continuation fp",8,0,286,286,-0.5,0.5,286
"5779",2,32,"continuation","fp",70,"continuation fp",5,0,450,450,0.5,-0.5,450
"5781",2,48,"continuation","fp",70,"continuation fp",5,0,205,205,0.5,-0.5,205
"5783",2,40,"continuation","fp",70,"continuation fp",5,0,285,285,0.5,-0.5,285
"5785",2,28,"continuation","fp",70,"continuation fp",5,1,0,NA,0.5,-0.5,NA
"5787",2,38,"continuation","fp",70,"continuation fp",7,0,384,384,0.5,0.5,384
"5789",2,42,"continuation","fp",70,"continuation fp",7,1,0,NA,0.5,0.5,NA
"5791",2,37,"continuation","fp",70,"continuation fp",6,0,189,189,-0.5,-0.5,189
"5793",2,29,"continuation","fp",70,"continuation fp",6,0,340,340,-0.5,-0.5,340
