"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"15281",1,28,"continuation","rp",53,"continuation rp",8,0,265,265,-0.5,0.5,265
"15283",1,46,"continuation","rp",53,"continuation rp",6,0,185,185,-0.5,-0.5,185
"15285",1,40,"continuation","rp",53,"continuation rp",8,0,260,260,-0.5,0.5,260
"15287",1,25,"continuation","rp",53,"continuation rp",5,0,199,199,0.5,-0.5,199
"15289",1,42,"continuation","rp",53,"continuation rp",6,0,184,184,-0.5,-0.5,184
"15291",1,37,"continuation","rp",53,"continuation rp",5,0,445,445,0.5,-0.5,445
"15293",1,26,"continuation","rp",53,"continuation rp",6,0,249,249,-0.5,-0.5,249
"15295",1,30,"continuation","rp",53,"continuation rp",6,1,0,NA,-0.5,-0.5,NA
"15297",1,32,"continuation","rp",53,"continuation rp",8,0,336,336,-0.5,0.5,336
"15299",1,31,"continuation","rp",53,"continuation rp",7,0,186,186,0.5,0.5,186
"15301",1,47,"continuation","rp",53,"continuation rp",7,0,356,356,0.5,0.5,356
"15303",1,44,"continuation","rp",53,"continuation rp",8,0,192,192,-0.5,0.5,192
"15305",1,27,"continuation","rp",53,"continuation rp",7,0,205,205,0.5,0.5,205
"15307",1,33,"continuation","rp",53,"continuation rp",5,0,316,316,0.5,-0.5,316
"15309",1,45,"continuation","rp",53,"continuation rp",5,0,267,267,0.5,-0.5,267
"15311",1,34,"continuation","rp",53,"continuation rp",6,0,212,212,-0.5,-0.5,212
"15313",1,35,"continuation","rp",53,"continuation rp",7,1,0,NA,0.5,0.5,NA
"15315",1,29,"continuation","rp",53,"continuation rp",5,0,260,260,0.5,-0.5,260
"15317",1,41,"continuation","rp",53,"continuation rp",5,0,256,256,0.5,-0.5,256
"15319",1,38,"continuation","rp",53,"continuation rp",6,0,211,211,-0.5,-0.5,211
"15321",1,43,"continuation","rp",53,"continuation rp",7,0,194,194,0.5,0.5,194
"15323",1,39,"continuation","rp",53,"continuation rp",7,1,0,NA,0.5,0.5,NA
"15325",1,48,"continuation","rp",53,"continuation rp",8,0,225,225,-0.5,0.5,225
"15327",1,36,"continuation","rp",53,"continuation rp",8,0,760,760,-0.5,0.5,NA
"15329",2,32,"continuation","rp",53,"continuation rp",5,0,450,450,0.5,-0.5,450
"15331",2,48,"continuation","rp",53,"continuation rp",5,0,205,205,0.5,-0.5,205
"15333",2,40,"continuation","rp",53,"continuation rp",5,0,285,285,0.5,-0.5,285
"15335",2,28,"continuation","rp",53,"continuation rp",5,1,0,NA,0.5,-0.5,NA
"15337",2,38,"continuation","rp",53,"continuation rp",7,0,384,384,0.5,0.5,384
"15339",2,42,"continuation","rp",53,"continuation rp",7,1,0,NA,0.5,0.5,NA
"15341",2,37,"continuation","rp",53,"continuation rp",6,0,189,189,-0.5,-0.5,189
"15343",2,29,"continuation","rp",53,"continuation rp",6,0,340,340,-0.5,-0.5,340
"15345",2,45,"continuation","rp",53,"continuation rp",6,1,0,NA,-0.5,-0.5,NA
"15347",2,41,"continuation","rp",53,"continuation rp",6,0,316,316,-0.5,-0.5,316
"15349",2,35,"continuation","rp",53,"continuation rp",8,0,202,202,-0.5,0.5,202
"15351",2,44,"continuation","rp",53,"continuation rp",5,1,0,NA,0.5,-0.5,NA
"15353",2,46,"continuation","rp",53,"continuation rp",7,1,0,NA,0.5,0.5,NA
"15355",2,26,"continuation","rp",53,"continuation rp",7,1,0,NA,0.5,0.5,NA
"15357",2,25,"continuation","rp",53,"continuation rp",6,1,0,NA,-0.5,-0.5,NA
"15359",2,47,"continuation","rp",53,"continuation rp",8,0,354,354,-0.5,0.5,354
"15361",2,34,"continuation","rp",53,"continuation rp",7,0,470,470,0.5,0.5,470
