"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"241",1,28,"disamb","rp",74,"disamb rp",8,0,324,324,-0.5,0.5,324
"243",1,46,"disamb","rp",74,"disamb rp",6,0,292,292,-0.5,-0.5,292
"245",1,40,"disamb","rp",74,"disamb rp",8,0,329,329,-0.5,0.5,329
"247",1,25,"disamb","rp",74,"disamb rp",5,0,146,146,0.5,-0.5,146
"249",1,42,"disamb","rp",74,"disamb rp",6,0,282,282,-0.5,-0.5,282
"251",1,37,"disamb","rp",74,"disamb rp",5,0,323,323,0.5,-0.5,323
"253",1,26,"disamb","rp",74,"disamb rp",6,0,309,309,-0.5,-0.5,309
"255",1,30,"disamb","rp",74,"disamb rp",6,0,299,299,-0.5,-0.5,299
"257",1,32,"disamb","rp",74,"disamb rp",8,0,323,323,-0.5,0.5,323
"259",1,31,"disamb","rp",74,"disamb rp",7,1,0,NA,0.5,0.5,NA
"261",1,47,"disamb","rp",74,"disamb rp",7,0,232,232,0.5,0.5,232
"263",1,44,"disamb","rp",74,"disamb rp",8,0,686,686,-0.5,0.5,686
"265",1,27,"disamb","rp",74,"disamb rp",7,0,317,317,0.5,0.5,317
"267",1,33,"disamb","rp",74,"disamb rp",5,0,290,290,0.5,-0.5,290
"269",1,45,"disamb","rp",74,"disamb rp",5,0,220,220,0.5,-0.5,220
"271",1,34,"disamb","rp",74,"disamb rp",6,0,179,179,-0.5,-0.5,179
"273",1,35,"disamb","rp",74,"disamb rp",7,0,190,190,0.5,0.5,190
"275",1,29,"disamb","rp",74,"disamb rp",5,0,325,325,0.5,-0.5,325
"277",1,41,"disamb","rp",74,"disamb rp",5,0,205,205,0.5,-0.5,205
"279",1,38,"disamb","rp",74,"disamb rp",6,0,310,310,-0.5,-0.5,310
"281",1,43,"disamb","rp",74,"disamb rp",7,0,364,364,0.5,0.5,364
"283",1,39,"disamb","rp",74,"disamb rp",7,0,404,404,0.5,0.5,404
"285",1,48,"disamb","rp",74,"disamb rp",8,0,750,750,-0.5,0.5,750
