"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"289",1,28,"spillover1","rp",74,"spillover1 rp",8,0,610,610,-0.5,0.5,610
"291",1,46,"spillover1","rp",74,"spillover1 rp",6,0,3348,3348,-0.5,-0.5,3348
"293",1,40,"spillover1","rp",74,"spillover1 rp",8,0,850,850,-0.5,0.5,850
"295",1,25,"spillover1","rp",74,"spillover1 rp",5,0,2998,2998,0.5,-0.5,2998
"297",1,42,"spillover1","rp",74,"spillover1 rp",6,0,500,500,-0.5,-0.5,500
"299",1,37,"spillover1","rp",74,"spillover1 rp",5,0,2149,2149,0.5,-0.5,2149
"301",1,26,"spillover1","rp",74,"spillover1 rp",6,0,971,971,-0.5,-0.5,971
"303",1,30,"spillover1","rp",74,"spillover1 rp",6,0,2455,2455,-0.5,-0.5,2455
"305",1,32,"spillover1","rp",74,"spillover1 rp",8,0,2576,2576,-0.5,0.5,2576
"307",1,31,"spillover1","rp",74,"spillover1 rp",7,0,1372,1372,0.5,0.5,1372
"309",1,47,"spillover1","rp",74,"spillover1 rp",7,0,1436,1436,0.5,0.5,1436
"311",1,44,"spillover1","rp",74,"spillover1 rp",8,0,550,550,-0.5,0.5,550
"313",1,27,"spillover1","rp",74,"spillover1 rp",7,0,2031,2031,0.5,0.5,2031
"315",1,33,"spillover1","rp",74,"spillover1 rp",5,0,651,651,0.5,-0.5,651
"317",1,45,"spillover1","rp",74,"spillover1 rp",5,0,3542,3542,0.5,-0.5,3542
"319",1,34,"spillover1","rp",74,"spillover1 rp",6,0,390,390,-0.5,-0.5,390
"321",1,35,"spillover1","rp",74,"spillover1 rp",7,0,2415,2415,0.5,0.5,2415
"323",1,29,"spillover1","rp",74,"spillover1 rp",5,0,802,802,0.5,-0.5,802
"325",1,41,"spillover1","rp",74,"spillover1 rp",5,0,4145,4145,0.5,-0.5,4145
"327",1,38,"spillover1","rp",74,"spillover1 rp",6,0,377,377,-0.5,-0.5,377
"329",1,43,"spillover1","rp",74,"spillover1 rp",7,0,824,824,0.5,0.5,824
"331",1,39,"spillover1","rp",74,"spillover1 rp",7,0,4800,4800,0.5,0.5,4800
"333",1,48,"spillover1","rp",74,"spillover1 rp",8,0,3727,3727,-0.5,0.5,3727
"335",1,36,"spillover1","rp",74,"spillover1 rp",8,0,298,298,-0.5,0.5,298
"1009",2,32,"spillover1","rp",71,"spillover1 rp",5,0,1577,1577,0.5,-0.5,1577
"1011",2,48,"spillover1","rp",71,"spillover1 rp",5,0,1990,1990,0.5,-0.5,1990
"1013",2,40,"spillover1","rp",71,"spillover1 rp",5,1,0,NA,0.5,-0.5,NA
"1015",2,28,"spillover1","rp",71,"spillover1 rp",5,0,1609,1609,0.5,-0.5,1609
"1017",2,38,"spillover1","rp",71,"spillover1 rp",7,0,1883,1883,0.5,0.5,1883
"1019",2,42,"spillover1","rp",71,"spillover1 rp",7,0,595,595,0.5,0.5,595
"1021",2,37,"spillover1","rp",71,"spillover1 rp",6,0,733,733,-0.5,-0.5,733
"1023",2,29,"spillover1","rp",71,"spillover1 rp",6,0,353,353,-0.5,-0.5,353
"1025",2,45,"spillover1","rp",71,"spillover1 rp",6,0,504,504,-0.5,-0.5,504
"1027",2,41,"spillover1","rp",71,"spillover1 rp",6,0,667,667,-0.5,-0.5,667
"1029",2,35,"spillover1","rp",71,"spillover1 rp",8,0,300,300,-0.5,0.5,300
"1031",2,44,"spillover1","rp",71,"spillover1 rp",5,0,1174,1174,0.5,-0.5,1174
