"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"21011",1,28,"spillover1","tt",60,"spillover1 tt",8,0,610,610,-0.5,0.5,610
"21013",1,46,"spillover1","tt",60,"spillover1 tt",6,0,599,599,-0.5,-0.5,599
"21015",1,40,"spillover1","tt",60,"spillover1 tt",8,0,612,612,-0.5,0.5,612
"21017",1,25,"spillover1","tt",60,"spillover1 tt",5,0,1672,1672,0.5,-0.5,1672
"21019",1,42,"spillover1","tt",60,"spillover1 tt",6,0,500,500,-0.5,-0.5,500
"21021",1,37,"spillover1","tt",60,"spillover1 tt",5,0,950,950,0.5,-0.5,950
"21023",1,26,"spillover1","tt",60,"spillover1 tt",6,0,677,677,-0.5,-0.5,677
"21025",1,30,"spillover1","tt",60,"spillover1 tt",6,0,1527,1527,-0.5,-0.5,1527
"21027",1,32,"spillover1","tt",60,"spillover1 tt",8,0,1053,1053,-0.5,0.5,1053
"21029",1,31,"spillover1","tt",60,"spillover1 tt",7,0,1135,1135,0.5,0.5,1135
"21031",1,47,"spillover1","tt",60,"spillover1 tt",7,0,1222,1222,0.5,0.5,1222
"21033",1,44,"spillover1","tt",60,"spillover1 tt",8,0,914,914,-0.5,0.5,914
"21035",1,27,"spillover1","tt",60,"spillover1 tt",7,0,931,931,0.5,0.5,931
"21037",1,33,"spillover1","tt",60,"spillover1 tt",5,0,651,651,0.5,-0.5,651
"21039",1,45,"spillover1","tt",60,"spillover1 tt",5,0,1261,1261,0.5,-0.5,1261
"21041",1,34,"spillover1","tt",60,"spillover1 tt",6,0,390,390,-0.5,-0.5,390
"21043",1,35,"spillover1","tt",60,"spillover1 tt",7,0,1204,1204,0.5,0.5,1204
"21045",1,29,"spillover1","tt",60,"spillover1 tt",5,0,1919,1919,0.5,-0.5,1919
"21047",1,41,"spillover1","tt",60,"spillover1 tt",5,0,1838,1838,0.5,-0.5,1838
"21049",1,38,"spillover1","tt",60,"spillover1 tt",6,0,377,377,-0.5,-0.5,377
"21051",1,43,"spillover1","tt",60,"spillover1 tt",7,0,824,824,0.5,0.5,824
"21053",1,39,"spillover1","tt",60,"spillover1 tt",7,0,1905,1905,0.5,0.5,1905
"21055",1,48,"spillover1","tt",60,"spillover1 tt",8,0,1016,1016,-0.5,0.5,1016
"21057",1,36,"spillover1","tt",60,"spillover1 tt",8,0,298,298,-0.5,0.5,298
"21059",2,32,"spillover1","tt",60,"spillover1 tt",5,0,1577,1577,0.5,-0.5,1577
"21061",2,48,"spillover1","tt",60,"spillover1 tt",5,0,3270,3270,0.5,-0.5,3270
"21063",2,40,"spillover1","tt",60,"spillover1 tt",5,0,2661,2661,0.5,-0.5,2661
"21065",2,28,"spillover1","tt",60,"spillover1 tt",5,0,1475,1475,0.5,-0.5,1475
"21067",2,38,"spillover1","tt",60,"spillover1 tt",7,0,2058,2058,0.5,0.5,2058
"21069",2,42,"spillover1","tt",60,"spillover1 tt",7,0,595,595,0.5,0.5,595
"21071",2,37,"spillover1","tt",60,"spillover1 tt",6,0,733,733,-0.5,-0.5,733
"21073",2,29,"spillover1","tt",60,"spillover1 tt",6,0,353,353,-0.5,-0.5,353
"21075",2,45,"spillover1","tt",60,"spillover1 tt",6,0,821,821,-0.5,-0.5,821
"21077",2,41,"spillover1","tt",60,"spillover1 tt",6,0,667,667,-0.5,-0.5,667
"21079",2,35,"spillover1","tt",60,"spillover1 tt",8,0,300,300,-0.5,0.5,300
"21081",2,44,"spillover1","tt",60,"spillover1 tt",5,0,1037,1037,0.5,-0.5,1037
"21083",2,46,"spillover1","tt",60,"spillover1 tt",7,0,353,353,0.5,0.5,353
"21085",2,26,"spillover1","tt",60,"spillover1 tt",7,0,657,657,0.5,0.5,657
"21087",2,25,"spillover1","tt",60,"spillover1 tt",6,1,0,NA,-0.5,-0.5,NA
"21089",2,47,"spillover1","tt",60,"spillover1 tt",8,0,270,270,-0.5,0.5,270
"21091",2,34,"spillover1","tt",60,"spillover1 tt",7,0,427,427,0.5,0.5,427
"21093",2,43,"spillover1","tt",60,"spillover1 tt",8,0,544,544,-0.5,0.5,544
"21095",2,33,"spillover1","tt",60,"spillover1 tt",6,0,559,559,-0.5,-0.5,559
"21097",2,39,"spillover1","tt",60,"spillover1 tt",8,0,692,692,-0.5,0.5,692
"21099",2,30,"spillover1","tt",60,"spillover1 tt",7,0,1035,1035,0.5,0.5,1035
