"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"11462",1,18,"spillover1","rp",82,"spillover1 rp",2,0,243,243,0.5,0.5,243
"11464",1,15,"spillover1","rp",82,"spillover1 rp",3,0,219,219,-0.5,-0.5,219
"11466",1,1,"spillover1","rp",82,"spillover1 rp",1,0,4587,4587,0.5,-0.5,4587
"11468",1,6,"spillover1","rp",82,"spillover1 rp",2,0,2798,2798,0.5,0.5,2798
"11470",1,3,"spillover1","rp",82,"spillover1 rp",3,0,731,731,-0.5,-0.5,731
"11472",1,14,"spillover1","rp",82,"spillover1 rp",2,0,333,333,0.5,0.5,333
"11474",1,4,"spillover1","rp",82,"spillover1 rp",4,0,121,121,-0.5,0.5,121
"11476",1,17,"spillover1","rp",82,"spillover1 rp",1,0,588,588,0.5,-0.5,588
"11478",1,5,"spillover1","rp",82,"spillover1 rp",1,0,733,733,0.5,-0.5,733
"11480",1,13,"spillover1","rp",82,"spillover1 rp",1,0,2806,2806,0.5,-0.5,2806
"11482",1,22,"spillover1","rp",82,"spillover1 rp",2,0,304,304,0.5,0.5,304
"11484",1,8,"spillover1","rp",82,"spillover1 rp",4,0,178,178,-0.5,0.5,178
"11486",1,9,"spillover1","rp",82,"spillover1 rp",1,0,2628,2628,0.5,-0.5,2628
"11488",1,19,"spillover1","rp",82,"spillover1 rp",3,0,220,220,-0.5,-0.5,220
"11490",1,24,"spillover1","rp",82,"spillover1 rp",4,0,181,181,-0.5,0.5,181
"11492",1,12,"spillover1","rp",82,"spillover1 rp",4,0,210,210,-0.5,0.5,210
"11494",1,20,"spillover1","rp",82,"spillover1 rp",4,0,184,184,-0.5,0.5,184
"11496",1,10,"spillover1","rp",82,"spillover1 rp",2,0,2289,2289,0.5,0.5,2289
"11498",1,11,"spillover1","rp",82,"spillover1 rp",3,0,231,231,-0.5,-0.5,231
"11500",1,16,"spillover1","rp",82,"spillover1 rp",4,0,174,174,-0.5,0.5,174
"11502",1,7,"spillover1","rp",82,"spillover1 rp",3,0,392,392,-0.5,-0.5,392
"11504",1,2,"spillover1","rp",82,"spillover1 rp",2,0,219,219,0.5,0.5,219
"11506",1,21,"spillover1","rp",82,"spillover1 rp",1,0,168,168,0.5,-0.5,168
"11508",1,23,"spillover1","rp",82,"spillover1 rp",3,0,311,311,-0.5,-0.5,311
"11510",2,16,"spillover1","rp",82,"spillover1 rp",1,0,338,338,0.5,-0.5,338
"11512",2,4,"spillover1","rp",82,"spillover1 rp",1,0,481,481,0.5,-0.5,481
"11514",2,2,"spillover1","rp",82,"spillover1 rp",3,0,985,985,-0.5,-0.5,985
"11516",2,13,"spillover1","rp",82,"spillover1 rp",2,0,485,485,0.5,0.5,485
"11518",2,19,"spillover1","rp",82,"spillover1 rp",4,0,369,369,-0.5,0.5,369
"11520",2,12,"spillover1","rp",82,"spillover1 rp",1,0,1484,1484,0.5,-0.5,1484
"11522",2,10,"spillover1","rp",82,"spillover1 rp",3,0,268,268,-0.5,-0.5,268
"11524",2,3,"spillover1","rp",82,"spillover1 rp",4,0,552,552,-0.5,0.5,552
"11526",2,9,"spillover1","rp",82,"spillover1 rp",2,0,229,229,0.5,0.5,229
"11528",2,21,"spillover1","rp",82,"spillover1 rp",2,0,178,178,0.5,0.5,178
"11530",2,15,"spillover1","rp",82,"spillover1 rp",4,0,313,313,-0.5,0.5,313
"11532",2,18,"spillover1","rp",82,"spillover1 rp",3,0,701,701,-0.5,-0.5,701
"11534",2,6,"spillover1","rp",82,"spillover1 rp",3,0,555,555,-0.5,-0.5,555
"11536",2,5,"spillover1","rp",82,"spillover1 rp",2,0,197,197,0.5,0.5,197
"11538",2,14,"spillover1","rp",82,"spillover1 rp",3,0,510,510,-0.5,-0.5,510
"11540",2,1,"spillover1","rp",82,"spillover1 rp",2,0,539,539,0.5,0.5,539
