"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"21012",1,18,"spillover1","tt",60,"spillover1 tt",2,0,514,514,0.5,0.5,514
"21014",1,15,"spillover1","tt",60,"spillover1 tt",3,0,381,381,-0.5,-0.5,381
"21016",1,1,"spillover1","tt",60,"spillover1 tt",1,0,773,773,0.5,-0.5,773
"21018",1,6,"spillover1","tt",60,"spillover1 tt",2,0,478,478,0.5,0.5,478
"21020",1,3,"spillover1","tt",60,"spillover1 tt",3,0,455,455,-0.5,-0.5,455
"21022",1,14,"spillover1","tt",60,"spillover1 tt",2,0,333,333,0.5,0.5,333
"21024",1,4,"spillover1","tt",60,"spillover1 tt",4,0,489,489,-0.5,0.5,489
"21026",1,17,"spillover1","tt",60,"spillover1 tt",1,0,800,800,0.5,-0.5,800
"21028",1,5,"spillover1","tt",60,"spillover1 tt",1,0,733,733,0.5,-0.5,733
"21030",1,13,"spillover1","tt",60,"spillover1 tt",1,0,515,515,0.5,-0.5,515
"21032",1,22,"spillover1","tt",60,"spillover1 tt",2,0,304,304,0.5,0.5,304
"21034",1,8,"spillover1","tt",60,"spillover1 tt",4,0,667,667,-0.5,0.5,667
"21036",1,9,"spillover1","tt",60,"spillover1 tt",1,0,761,761,0.5,-0.5,761
"21038",1,19,"spillover1","tt",60,"spillover1 tt",3,0,220,220,-0.5,-0.5,220
"21040",1,24,"spillover1","tt",60,"spillover1 tt",4,0,411,411,-0.5,0.5,411
"21042",1,12,"spillover1","tt",60,"spillover1 tt",4,0,1053,1053,-0.5,0.5,1053
"21044",1,20,"spillover1","tt",60,"spillover1 tt",4,0,184,184,-0.5,0.5,184
"21046",1,10,"spillover1","tt",60,"spillover1 tt",2,0,1312,1312,0.5,0.5,1312
"21048",1,11,"spillover1","tt",60,"spillover1 tt",3,0,386,386,-0.5,-0.5,386
"21050",1,16,"spillover1","tt",60,"spillover1 tt",4,0,552,552,-0.5,0.5,552
"21052",1,7,"spillover1","tt",60,"spillover1 tt",3,0,392,392,-0.5,-0.5,392
"21054",1,2,"spillover1","tt",60,"spillover1 tt",2,0,1719,1719,0.5,0.5,1719
"21056",1,21,"spillover1","tt",60,"spillover1 tt",1,0,168,168,0.5,-0.5,168
"21058",1,23,"spillover1","tt",60,"spillover1 tt",3,0,522,522,-0.5,-0.5,522
"21060",2,16,"spillover1","tt",60,"spillover1 tt",1,0,338,338,0.5,-0.5,338
"21062",2,4,"spillover1","tt",60,"spillover1 tt",1,0,996,996,0.5,-0.5,996
"21064",2,2,"spillover1","tt",60,"spillover1 tt",3,0,1100,1100,-0.5,-0.5,1100
